workflow,decision,transaction_count,transaction_share,total_amount,avg_amount,median_amount,fraud_count,fraud_rate
rule_workflow,APPROVE,278338,0.9772863728770711,21088507.81,75.76582360295755,21.535,135,0.00048502180801759015
rule_workflow,REVIEW,5791,0.020333067656342716,3376021.35,582.9772664479365,100.0,141,0.0243481264030392
rule_workflow,REJECT,678,0.0023805594665861443,698060.85,1029.5882743362831,92.405,216,0.3185840707964602
score_workflow,APPROVE,276229,0.9698813582531328,20130292.03,72.87537525024527,21.55,102,0.0003692588395859957
score_workflow,REVIEW,6060,0.021277566913734565,2998891.8,494.8666336633663,88.59,101,0.016666666666666666
score_workflow,REJECT,2518,0.008841074833132612,2033406.18,807.5481254964257,74.475,289,0.11477362986497221
